"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"12","3135cas","RT @ConstanceQueen8: 'Whatever It Takes': Michelle Malkin Tells Curt Schilling Mitt Romney Should Be Told 'NeverTrump Means Never Hired' ht‚Ä¶",265,-1,1,-74.6672226,40.3572976
"13","33stan33","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-86.5804473,35.5174913
"14","38_28_38","RT @38_28_38: #NeverTrump
Clearly @nytimes Republican sources are protecting their #ManchurianCandidate Trump Ì†ΩÌ∏è The problem? Voters aren't‚Ä¶",3,0,0,-74.0059413,40.7127837
"15","38_28_38","RT @38_28_38: #WikiLeaks = PUTIN PROPAGANDA
Trump is Putin's puppet just like Hillary said. #ImWithHer Ì†ΩÌ∏è #NeverTrump Never a #ManchurianCan‚Ä¶",53,0,0,-74.0059413,40.7127837
"16","38_28_38","RT @38_28_38: #NeverTrump
So many dumb new #TrumpTrolls accts crying nonfactual nonsense about Putin, wikileaks, Jill Stein &amp; ISIS in my MT‚Ä¶",4,-2,2,-74.0059413,40.7127837
"17","38_28_38","RT @38_28_38: #NeverTrump
""NATIONAL SECURITY""? #LOL Trump invited Russia to hack the State Dept! Ì†ΩÌ∏Ç @randcforamerica @Kendra69704562 @justmo‚Ä¶",1,0,0,-74.0059413,40.7127837
"18","3GoMigos","RT @3GoMigos: Hillary / Dems convinced me to vote for Donald Trump, even though I was #neverTrump. They are convincing me to actually suppo‚Ä¶",1,2,2,-95.712891,37.09024
"19","4charitydeals","‚ñ™#NeverTrump ‚ñ™ #IwillVote: https://t.co/WFdyi3diIG https://t.co/IKiAoKWHPR https://t.co/AT4gJVHjRE",0,0,0,-81.7877593,41.4524536
"20","4seasonspix","RT @girlsreallyrule: THIS IS HOW YOU ENSURE MASS PARTICIPATION: The Women's March on Washington barred from Lincoln Memorial #NeverTrump ht‚Ä¶",308,0,0,-118.3286614,34.0928092
"21","6nsinvt","Well by golly if that doesn't give @SpeakerRyan the warm and fuzzies nothing will. #AuditTheVote  #nevertrump‚Ä¶ https://t.co/uOJN0igGgi",1,2,2,-72.5778415,44.5588028
"22","6nsinvt","Says the man who helped get #trump elected by excoriating @HillaryClinton over non scandals- #emails #CF asinine st‚Ä¶ https://t.co/JucXiJYEjI",0,0,0,-72.5778415,44.5588028
"23","6nsinvt","As soon as #Putin gives him the list. @LindseyGrahamSC are you listening? #AuditTheVote #nevertrump https://t.co/5klTVXXNBA",0,0,0,-72.5778415,44.5588028
"24","7diane","RT @cahulaan: #NeverTrump #NotMyPresident #TheResistance #TrumpLeaks #GrabYourWallet #ResistTrump #DonTheCon #WhereYoTaxesAtBitch so true!!‚Ä¶",4,0,0,-119.4179324,36.778261
"25","808gardeniaG","RT @ConstanceQueen8: 'Whatever It Takes': Michelle Malkin Tells Curt Schilling Mitt Romney Should Be Told 'NeverTrump Means Never Hired' ht‚Ä¶",265,-1,1,-95.712891,37.09024
"26","95bravo1994","@nytopinion @NickKristof I'm a conservative independent #NeverTrump and thought your article was spot on but it will fall on lib deaf ears.",0,-3,3,-119.4179324,36.778261
"27","AAAron333","RT @bryanbehar: If America ever had a Fascist takeover, this is exactly what it would look like. #NeverTrump #NotMyPresident #USA Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏ http‚Ä¶",49,0,0,-116.2146068,43.6187102
"28","AberrantEve","So who do you want to be, America? Russia's dupes, or the nation that said, ""Hell no!""? #resist #NeverTrump #Putinspuppet",0,-1,1,-99.9018131,31.9685988
"29","AberrantEve","#resist #notmypresident #NeverTrump #Putinspuppet https://t.co/IzUW8Hnlwn",0,0,0,-99.9018131,31.9685988
"30","Abinormal1","RT @SpryGuy: We're looking at the take-over and dismantling of this great nation by foreign (Russian) interests &amp; multi-national corporatio‚Ä¶",17,2,2,-82.907123,40.4172871
"31","addfollowplus","#Cleveland: Must Knows About Donald Trump: https://t.co/kyL1FhLJoa #Trump #NeverTrump #StopTrump #politics101 #ClevelandNewDay",0,2,2,-81.7877593,41.4524536
"32","adirado29","RT @JohnSmithChgo: We need some Treason trials. #RussiaHacking #NotMyPresident #FireComey #NeverTrump
@adirado29 @frodofied @ZantiMisft @Mr‚Ä¶",6,-1,1,-74.0059413,40.7127837
"33","adnildyob","RT @SpryGuy: In case you haven't connected the dots just yet... read this:
#NeverTrump #Treason https://t.co/A1JHxAWhGf",87,-1,1,-117.8311428,33.7174708
"34","ADWarrenKY","RT @NoMoreRomney: 4 #NeverTrump Politicians Release A Joint Statement.  
And We Are Supposed To Take You Seriously? 
@LindseyGrahamSC

http‚Ä¶",5,0,0,-95.712891,37.09024
"35","aehooker501","BUT out. @POTUS @VP @uscapitol @CASOSvote @Socialist_Times @USNG @CIA @FBI #USMC @Vets4Bernie #BreakEmUp #LAP‚Ä¶ https://t.co/kyxRqqltko",0,0,0,-118.2436849,34.0522342
"36","aertwitt","RT @fubar_news: If you believe in #russianhacks without evidence nor proof, YOU are the #fakenews! #neverhillary #nevertrump https://t.co/L‚Ä¶",3,0,0,-87.5710898,37.9715592
"37","agraddi","RT @prosserjohn: Curious which version @realDonaldTrump likes the best. 9 of many. #NeverTrump #NotMyPresident #Election2016 #HamiltonElect‚Ä¶",2,2,2,-80.8431267,35.2270869
"38","aiksmart","RT @ConstanceQueen8: 'Whatever It Takes': Michelle Malkin Tells Curt Schilling Mitt Romney Should Be Told 'NeverTrump Means Never Hired' ht‚Ä¶",265,-1,1,-95.7607832,29.5821811
"39","airfare7","There is more than one important #election happening this November https://t.co/7qrhpp7rqC https://t.co/C1i84dvBwi #election2016 #NeverTrump",0,1,1,-81.7877593,41.4524536
"40","ajalsevac","RT @ElliottRHams: Look Evan, I was #NeverTrump too. He has said plenty of stupid things following the CIA report, but to claim disloyalty i‚Ä¶",2,-2,2,-85.3232139,51.253775
"41","AjayCnyc","RT @Redpainter1: I've stepped into a giant wormhole leading to an alternate universe where I 100% agree with @WalshFreedom #russianhacking‚Ä¶",9,1,1,-74.0059413,40.7127837
"42","AlanMCole","RT @charlescwcooke: You're telling this to people who said they're ""NeverTrump."" They . . . know. That's why they said ""never Trump."" https‚Ä¶",238,1,1,-77.0368707,38.9071923
"43","AlanPDuddle","RT @SpryGuy: Beware of distractions from the REAL problems....
#topprog #libcrib #p2 #uniteblue #NeverTrump https://t.co/1DYDqFrRMg",31,-1,1,-72.7795419,41.6612104
"44","alaskansforhrc","Of course militarize community police. Easier to put the people down while protesting him. #FirstAmendment‚Ä¶ https://t.co/N8R2lzMjQC",0,0,0,-95.712891,37.09024
"45","alaskier","RT @DailyLiberal1: The intelligence community represents two things Trump hates, intelligence and community. #TheResistance #TheDailyLibera‚Ä¶",26,2,2,-111.4979729,40.6460622
"46","AlexGuzman_9","'Thank you, Trump voters, for this wonderful joke' by Garrison Keillor @g_keillor #NeverTrump
https://t.co/ONbXlDh79m",0,2,2,-80.1917902,25.7616798
"47","alicat505","RT @joekeene: RNC = Russian National Committee
GOP = Guardians of Putin

Sounds about right ...

@GOP @realDonaldTrump #NeverTrump #StillWi‚Ä¶",18,1,1,-88.7108964,43.089927
"48","allwonky","RT @BillieO2: Beware of false prophets which come to you in sheep's clothing but inwardly they are ravening wolves.

#NeverTrump Ì†ΩÌ∫´ https://‚Ä¶",224,0,0,-95.712891,37.09024
"49","Alreadytaken367","RT @SpryGuy: In case you haven't connected the dots just yet... read this:
#NeverTrump #Treason https://t.co/A1JHxAWhGf",87,-1,1,-82.9000751,32.1656221
"50","AmberAufmerksam","RT @ARTISTstacy: Try un-seeing THIS one! 
@realDonaldTrump ,#DumpTrump,#STopTrump,#NeverTrump,#notmypresidenttrump , #TrumpPence16 , #Trump‚Ä¶",85,1,1,-95.712891,37.09024
"51","AmberAufmerksam","RT @cahulaan: #NeverTrump #NotMyPresident #TheResistance #TrumpLeaks #GrabYourWallet #ResistTrump #DonTheCon #WhereYoTaxesAtBitch Indeed ‚ùóÔ∏è‚Ä¶",9,0,0,-95.712891,37.09024
"52","America_Again","RT @jprouson: #trumptories #trumpsacrifices #TrumpPence16. this is not #strongertogether so #nevertrump &amp; #iwillvote for @HillaryClinton ht‚Ä¶",2,0,0,-95.712891,37.09024
"53","America89030131","RT @VivaLaAmes: VIDEO : Trump responds to the insane ""Russian Conspiracy Theory"" started by NeverTrump and pushed by Liberals.
https://t.co‚Ä¶",47,-1,1,-122.0846553,37.6247509
"54","AmericanWhoaMan","RT @rmasher2: Come on, people. All of these stories about Team Trump shadiness lead back to Putin &amp; Russia. Coincidence? No. Conspiracy. #N‚Ä¶",10,1,1,-119.4179324,36.778261
"55","AmyBarnettGOP","#NeverTrump presidential candidate Evan McMullin goes off on Trump: ‚ÄòNot a loyal American‚Äô https://t.co/21pDertF4q https://t.co/qCbXUKZhta",1,2,2,-74.0059413,40.7127837
"56","amyleda37","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-91.8318334,35.20105
"57","AmyMcKe91512587","@kimberly010960 @WDFx2EU26 @LindseyGrahamSC @SenJohnMcCain @realDonaldTrump gave support! Day after election McCain back on #NeverTrump Ì†ΩÌ∏°",1,0,0,-84.2988126,33.8920468
"58","Analicyam","RT @SluttySlutSlut1: A MUST READ: The #DefendDemocracy Declaration @DefendDemocracy

#NeverTrump #NotMyPresidentElect #hamiltonelectors  ht‚Ä¶",16,0,0,-99.7331439,32.4487364
"59","andables","Hey Conald, #yaburnt!
#nevertrump #msnbc #VoteBlue #UniteBlue #TheResistance #MAGA #resist https://t.co/5Art2ttTy3",1,0,0,-105.0694295,39.5877657
"60","Andersonista","In a sane world #RussianHacking would be a bigger scandal than Watergate. This is not that world. #Notmypresident #NeverTrump #GOP",3,0,0,-122.6764816,45.5230622
"61","Anevilweasel","RT @rmasher2: Come on, people. All of these stories about Team Trump shadiness lead back to Putin &amp; Russia. Coincidence? No. Conspiracy. #N‚Ä¶",10,1,1,-122.0575434,37.387474
"62","anneli8012","RT @SpryGuy: Trump, Putin, and ExxonMobil team up to destroy the planet https://t.co/UT0qwlCdwS #topprog #libcrib #p2 #uniteblue #neverTrump",6,0,0,-81.5157535,27.6648274
"63","anobscureartist","RT @SpryGuy: If the Electoral College doesn't reject Trump &amp; instead cast at least 270 votes for Hillary, it has failed at its sole purpose‚Ä¶",10,-1,1,-82.907123,40.4172871
"64","ant0n_n0vak","RT @ARTISTstacy: Try un-seeing THIS one! 
@realDonaldTrump ,#DumpTrump,#STopTrump,#NeverTrump,#notmypresidenttrump , #TrumpPence16 , #Trump‚Ä¶",85,1,1,-85.6023643,44.3148443
"65","ant0n_n0vak","RT @cahulaan: #NeverTrump #NotMyPresident #TheResistance #TrumpLeaks #GrabYourWallet #ResistTrump #DonTheCon #WhereYoTaxesAtBitch Indeed ‚ùóÔ∏è‚Ä¶",9,0,0,-85.6023643,44.3148443
"66","AnthonyBourque","RT @SpryGuy: Donald Trump's win is not legitimate.
Donald Trump is not a legitimate President.
Doanald Trump is a liar, cheater, and TRAITO‚Ä¶",42,1,1,-102.3676431,31.8456816
"67","antonio5591","RT @SpryGuy: In case you haven't connected the dots just yet... read this:
#NeverTrump #Treason https://t.co/A1JHxAWhGf",87,-1,1,-95.712891,37.09024
"68","ApeNotMonkey","@kctipton #NeverTrump conservatives like @jpodhoretz &amp; @davidfrum have the best, focused critiques of Trump. Someday the left will catch up.",0,3,3,-122.3320708,47.6062095
"69","ARepublic","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-116.9446123,32.7913116
"70","Areyouk17155476","@ErinRHazel @81_old Yup my dog as well, she's brown/black so you know she is #NeverTrump too",0,1,1,-85.6023643,44.3148443
"71","armchairadmiral","RT @Croat1988: #fakenews these #nevertrump ..ers are so uncapable of anything. Keep trying.....Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏É https://t.co/VUUNqm74Oa",7,0,0,-74.0059413,40.7127837
"72","arteamore","Yup #AntiTrump #notMyPresident #neverTrump https://t.co/KynfVgoQ7D",0,0,0,-119.4179324,36.778261
"73","ArtHauntsMe","RT @SpryGuy: Alt-president-elect Donald J. Trump is a classic gaslighter. He is a toxic blend of Barnum &amp; a bully. Don't let him sucker you‚Ä¶",43,-1,1,-79.9310512,32.7764749
"74","astorkinhand","RT @thenurse75: ""@SpryGuy: In case you haven't connected the dots just yet... read this:
#NeverTrump #Treason https://t.co/nlfWJjST0t""",5,-1,1,-95.712891,37.09024
"75","AtroxChobatsu","RT @NothinBunny: Doing sketches for $10+ donations/calls/letters. #StopTrump #NeverTrump #NeverGiveUp #actnow https://t.co/4laR21iow2 https‚Ä¶",3,0,0,-122.6366524,38.232417
"76","aviente","Seems Trump is mastering this skill...  #notmypresident #trump #nevertrump #supportheelectors https://t.co/JlYXja6r6H",1,3,3,-77.3063733,38.8462236
"77","AvoBrazOrunMa4","RT @StonZMGMT: Attn: GOP and 3rd party onlookers.
#RapistTrump 
#NeverTrump 
#NeverPence 
#StillWithHer 
#TheResistance https://t.co/PZLvpt‚Ä¶",3,0,0,-73.9712488,40.7830603
"78","Avvocata_Bella","@SpryGuy 
Trump won the ""NeverTrump"" State of Utah by 20 points.
Here ya go, little guy. https://t.co/9zgCsOkiJM",0,2,2,-95.712891,37.09024
"79","aya_hirano_suki","@SenSanders You know what will fix that? Hiring a bunch of rich CEOs to run important government departments! #NeverTrump",0,2,2,-87.9064736,43.0389025
"80","AZConservative1","RT @AZInformer: Trump Echoes CodePink (Again) In Defense of Russia

https://t.co/LbxQmsHIOK

#NeverTrump 
#AZRight 
#RussianInterference ht‚Ä¶",2,1,1,-111.0937311,34.0489281
"81","azcookiemonster","@realDonaldTrump U shouldve made the ExxonMobil CEO the head of EPA! What were u thinking?! #douchebag #nevertrump‚Ä¶ https://t.co/ce1biBc8tY",0,-1,1,-95.712891,37.09024
"82","AZInformer","Trump Echoes CodePink (Again) In Defense of Russia

https://t.co/LbxQmsHIOK

#NeverTrump 
#AZRight‚Ä¶ https://t.co/SFw23czFuu",2,1,1,-111.0937311,34.0489281
"83","Azulimperial","RT @funder: Trump Hired 64 FOREIGN Workers in FL for 2016-7 Holidays

#ImWithChuck #TrumpLeaks #secretcia #msnbc #amjoy #cnn #resist #never‚Ä¶",366,1,1,-106.4850217,31.7618778
"84","BadukBIgirl","RT @timmthelen: Millions more people voted for Hillary.
Shouldn't they count more than Russia?
#NeverTrump He's #NotMyPresident",1,0,0,-122.5210008,47.6248791
"85","BarbB0925","RT @JdwAttorney: #nevertrump @SenMcConnell @NATO @TheDemocrats @CIA @TheJusticeDept @washingtonpost @HuffPostPol @latimes @nytimes @nypost‚Ä¶",1,0,0,-114.7420408,44.0682019
"86","Barbie892","RT @SpryGuy: Donald Trump's win is not legitimate.
Donald Trump is not a legitimate President.
Doanald Trump is a liar, cheater, and TRAITO‚Ä¶",42,1,1,-96.7969879,32.7766642
"87","BardofLagrandil","RT @charlescwcooke: You're telling this to people who said they're ""NeverTrump."" They . . . know. That's why they said ""never Trump."" https‚Ä¶",238,1,1,-90.2834467,38.7042177
"88","BarricadesBloom","RT @SpryGuy: We're looking at the take-over and dismantling of this great nation by foreign (Russian) interests &amp; multi-national corporatio‚Ä¶",17,2,2,-74.0059413,40.7127837
"89","BasiaFierce","RT @SpryGuy: The events of this election, before during and after, prove that Republicans are un-American, unpatriotic, and treasonous. #Ne‚Ä¶",8,-1,1,-75.5276699,38.9108325
"90","baSmitty007","It takes more than showing up to a college game to show your support for the US Armed Forces.  What an idiot.‚Ä¶ https://t.co/iyYom1Mezz",2,0,0,-88.0398912,30.6953657
"91","Bavalova","I seldom speak in absolutes but I have to say: eggnog is the worst. I won't try yours. I won't fall for it again. #ObamaLegacy #NeverTrump",0,-2,2,-119.4179324,36.778261
"92","bbarbourbill","RT @snarkybcgirl: #TRUMisTREASONOUS 
#electorsdoyourjob 
#NeverTrump
#HillaryWon https://t.co/s64Bz8XZ2R",1,0,0,-83.6824384,42.0853204
"93","BBoyer1969","RT @charlescwcooke: You're telling this to people who said they're ""NeverTrump."" They . . . know. That's why they said ""never Trump."" https‚Ä¶",238,1,1,-86.1349019,40.2671941
"94","bdogdesign","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-77.1945247,41.2033216
"95","Beacootie","RT @NH92276: Trump is actually worse than #NeverTrump warned he would be. And it's barely December. EC might want to think hard.",4,-2,2,-95.712891,37.09024
"96","BeingSentinel","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-118.2436849,34.0522342
"97","beldch","#NeverTrump presidential candidate Evan McMullin goes off on Trump: ‚ÄòNot a loyal American‚Äô https://t.co/X8Szan6227 https://t.co/bUF4yaEUYY",0,2,2,-86.5804473,35.5174913
"98","BelleStockman","RT @ConstanceQueen8: 'Whatever It Takes': Michelle Malkin Tells Curt Schilling Mitt Romney Should Be Told 'NeverTrump Means Never Hired' ht‚Ä¶",265,-1,1,-110.3625658,46.8796822
"99","BellTrumpkin","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-95.712891,37.09024
"100","BellTrumpkin","@SuzikinsSays Yep..#NeverTrump'ers aka libs are not that smart..",1,1,1,-95.712891,37.09024
"101","benjamintmoore","WHEN TRUMP GETS HIS SECURITY BRIEFINGS, WILL HE HAVE PUTIN ON THE SPEAKER PHONE??? #NotMyPresident #NeverTrump #NotEver",0,1,1,-86.158068,39.768403
"102","BensonDPope","Last poll was a tie. Which# should we use?
#Resist #NeverTrump #AntiTrump #ProtestTrump  ?? 
Please vote or reply with suggestion. ‚úä",1,0,0,-95.712891,37.09024
"103","bernieloom","RT @BillieO2: Beware of false prophets which come to you in sheep's clothing but inwardly they are ravening wolves.

#NeverTrump Ì†ΩÌ∫´ https://‚Ä¶",224,0,0,-87.6297982,41.8781136
"104","berrebi555","https://t.co/2SWPKdjNEm

How can this be considered partisan issue?

#ImWithHer #StrongerTogether #NeverTrump #russianhacking #ElectionFraud",2,-1,1,-118.2467693,34.040713
"105","berrebi555","#ImStillWithHer #StrongerTogether #NeverTrump #TrumpLiesMatter #TheArtOfTheSteal #Unfit https://t.co/sabOm1TSsY",0,-1,1,-118.2467693,34.040713
"106","berrebi555","#NeverTrump #TrumpLiesMatter #TheArtOfTheSteal #DonTheCon #Unfit https://t.co/pdSXvsA0qQ",0,-1,1,-118.2467693,34.040713
"107","Bestamericanew","#NeverTrump presidential candidate Evan McMullin goes off on Trump: ‚ÄòNot a loyal American‚Äô https://t.co/0wJSe1B1sc https://t.co/r9CZXAQnut",0,2,2,-120.7401386,47.7510741
"108","bev_bowns","RT @1rantingrooster: Hillary doesn't have the integrity to be honest with the American people. #NeverHillary #NeverTrump",5,1,1,-117.6508876,34.0633443
"109","BeverlySimcic","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-79.9958864,40.4406248
"110","BewareTheBeliev","RT @BewareTheBeliev: @msnbc @abc @nbc @cbs Do ur job/History repeating itself/U know Trump UNFIT/UNQUALUFIED! Make case 2 ppl/get him OUT!‚Ä¶",2,1,1,-82.907123,40.4172871
"111","BewareTheBeliev","RT @BewareTheBeliev: @msnbc @nbc @abc @cbs STOP reporting Trump appts! Report how Constitution allows #STOPTrump &amp; do it! #UniteBlue #p2 #I‚Ä¶",1,1,1,-82.907123,40.4172871
"112","BewareTheBeliev","@msnbc @nbc @abc @cbs STOP reporting Trump appts! Report how Constitution allows #STOPTrump &amp; do it! #UniteBlue #p2 #Iam#HER #NeverTrump",1,1,1,-82.907123,40.4172871
"113","BewareTheBeliev","@msnbc @abc @nbc @cbs Do ur job/History repeating itself/U know Trump UNFIT/UNQUALUFIED! Make case 2 ppl/get him OUT! #UniteBlue #NeverTrump",2,1,1,-82.907123,40.4172871
"114","billbong9059","RT @ConstanceQueen8: 'Whatever It Takes': Michelle Malkin Tells Curt Schilling Mitt Romney Should Be Told 'NeverTrump Means Never Hired' ht‚Ä¶",265,-1,1,-117.966311,35.036276
"115","BillBushman","RT @bryanbehar: If America ever had a Fascist takeover, this is exactly what it would look like. #NeverTrump #NotMyPresident #USA Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏ http‚Ä¶",49,0,0,-118.4396756,34.1825782
"116","billcottonjr","As a #neverTrump independent will enjoy the circus high wire act he's forcing the news media to perform over the next 4 years @brianstelter",0,1,1,-86.7977672,37.9953335
"117","billslater","RT @ConstanceQueen8: 'Whatever It Takes': Michelle Malkin Tells Curt Schilling Mitt Romney Should Be Told 'NeverTrump Means Never Hired' ht‚Ä¶",265,-1,1,-87.6297982,41.8781136
"118","BillStricklin","RT @VivaLaAmes: VIDEO : Trump responds to the insane ""Russian Conspiracy Theory"" started by NeverTrump and pushed by Liberals.
https://t.co‚Ä¶",47,-1,1,-89.3985283,32.3546679
"119","bitslaw","Flash forward: #NeverTrump in 2020 - Imagine for a moment that it‚Äôs 2020. (Or, more likely very early in 2019.)... https://t.co/9MWlSkd7Ya",0,0,0,-95.712891,37.09024
"120","bjorkianrice","RT @SpryGuy: If the Electoral College doesn't reject Trump &amp; instead cast at least 270 votes for Hillary, it has failed at its sole purpose‚Ä¶",10,-1,1,-74.0059413,40.7127837
"121","blackrepublican","RT @denminn: Some people have made fun of #NeverTrump folk like me, but I have no regrets.  I stood on what I believed was correct.",2,2,2,-95.712891,37.09024
"122","blackrepublican","RT @alecrider: I believe in the republic. The Constitution. Our freedoms &amp; unalienable rights. Not a reactionary, nativist cult of personal‚Ä¶",12,0,0,-95.712891,37.09024
"123","blackrepublican","RT @akhanukov: Turns out many #NeverTrump peeps were more like #NeverTrumpLOLWhatevs!",4,1,1,-95.712891,37.09024
"124","BlackServative","RT @mimimayesTN: He gets a lot of retweets from democrats and #NeverTrump crowd. His 15 minutes of fame, I guess @BlackServative",1,1,1,-74.0059413,40.7127837
"125","blindlib5","#NeverTrump #ImpeachTrump #StillSanders https://t.co/TVReQWAsgG",0,0,0,-72.5778415,44.5588028
"126","BlogChurchWork","RT @BlogChurchWork: Bc these points of DJT's corruption need to be sustained in the public eye #TheResistance #Resist #NeverTrump https://t‚Ä¶",2,-1,1,-77.0368707,38.9071923
"127","BlogChurchWork","RT @BlogChurchWork: Bc these points of DJT's corruption need to be sustained in the public eye #TheResistance #Resist #NeverTrump https://t‚Ä¶",1,-1,1,-77.0368707,38.9071923
"128","BlogChurchWork","Bc these points of DJT's corruption need to be sustained in the public eye #TheResistance #Resist #NeverTrump https://t.co/IHEDXVFU6s",1,-1,1,-77.0368707,38.9071923
"129","BlogChurchWork","Bc these points of DJT's corruption need to be sustained in the public eye #TheResistance #Resist #NeverTrump https://t.co/wovbzWUzOy",2,-1,1,-77.0368707,38.9071923
"130","BlogChurchWork","RT @BlogChurchWork: Op | Electors: ""That time has come, &amp; your responsibility is clear."" #DoYourJob #Resist #TheResistance #NeverTrump http‚Ä¶",14,1,1,-77.0368707,38.9071923
"131","blogenfreude","@SenGillibrand @SenSchumer for the people of New York &amp; everyone else, you need to get to the bottom of this hacking and quickly #nevertrump",0,0,0,-73.9712488,40.7830603
"132","BlshopandHayes","RT @AngelaBanjela: @realDonaldTrump  ""Yeah.... but not those Muslim soldiers.  Fuck them."" #assholeinchief #unfit #nevertrump #pleasestepdo‚Ä¶",6,-2,2,-93.2922989,37.2089572
"133","bluecorncomics","""Throughout his campaign Trump repeatedly gave permission for folks to act on their anger, their bigotry and their‚Ä¶ https://t.co/jTHQw2iHLN",0,-1,1,-118.2436849,34.0522342
"134","Blueghost10","RT @PJamesKing: So Trump controls D.C.? Anti-Trump Women‚Äôs March Barred From Lincoln Memorial https://t.co/pmGvxWmrhC via @thedailybeast @S‚Ä¶",2,1,1,-77.0368707,38.9071923
"135","BlueHills50","RT @RJTheRealOne: Long story short every time he opens his mouth I become even more #NeverTrump. https://t.co/wBVPVXHcPD",7,0,0,-95.712891,37.09024
"136","bmargirl","RT @andables: Hey Conald, #yaburnt!
#nevertrump #msnbc #VoteBlue #UniteBlue #TheResistance #MAGA #resist https://t.co/5Art2ttTy3",1,0,0,-79.0192997,35.7595731
"137","bobi_gillyon","RT @SpryGuy: In case you haven't connected the dots just yet... read this:
#NeverTrump #Treason https://t.co/A1JHxAWhGf",87,-1,1,-90.6248481,37.7692167
"138","bobkosturko","No president has been so ignorant of fact and disdains fact in the way this President-elect does.
#NeverTrump https://t.co/p1dkZoTBKU",0,-1,1,-71.0588801,42.3600825
"139","bonnieblue719","RT @halsteadg048: #NeverTrump is so upset about #Trump not choosing @MittRomney that they have now joined together with @POTUS to take out‚Ä¶",6,0,0,-91.9623327,30.9842977
"140","boris3324","RT @co_rapunzel4: The face of crass materialism, poor taste, intolerance &amp; racism. It's also the face of the #GOP. #NeverTrump https://t.co‚Ä¶",223,-4,4,-78.6568942,37.4315734
"141","BostonDaveOH","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-82.907123,40.4172871
"142","BreezyLovinInWV","#Trump launches Sunday #Twitter tirade against #China, this is NOT going to end well #NeverTrump #NotMyPresident  https://t.co/CNQOeNnF5J",1,2,2,-81.6326234,38.3498195
